Year,County Code,County Name,Disposition Code,Type of Disposition,Deaths,Percent
2005,13,Cayuga,2,Cremation,215,27.6%
2005,13,Cayuga,3,Other/Unknown,93,11.9%
2005,14,Chautauqua,0,Total,1433,100.0%
2005,14,Chautauqua,1,Burial,843,58.8%
2005,14,Chautauqua,2,Cremation,427,29.8%
2005,14,Chautauqua,3,Other/Unknown,163,11.4%
2005,15,Chemung,0,Total,997,100.0%
2005,15,Chemung,1,Burial,645,64.7%
2005,15,Chemung,2,Cremation,304,30.5%
2005,15,Chemung,3,Other/Unknown,48,4.8%
2005,16,Chenango,0,Total,483,100.0%
2005,16,Chenango,1,Burial,256,53.0%
2005,16,Chenango,2,Cremation,193,40.0%
2005,16,Chenango,3,Other/Unknown,34,7.0%
2005,17,Clinton,0,Total,630,100.0%
2005,17,Clinton,1,Burial,370,58.7%
2005,17,Clinton,2,Cremation,198,31.4%
2005,17,Clinton,3,Other/Unknown,62,9.8%
2005,18,Columbia,0,Total,617,100.0%
2005,18,Columbia,1,Burial,332,53.8%
2005,18,Columbia,2,Cremation,231,37.4%
2005,18,Columbia,3,Other/Unknown,54,8.8%
2005,19,Cortland,0,Total,441,100.0%
2005,19,Cortland,1,Burial,269,61.0%
2005,19,Cortland,2,Cremation,150,34.0%
2005,19,Cortland,3,Other/Unknown,22,5.0%
2005,20,Delaware,0,Total,578,100.0%
2005,20,Delaware,1,Burial,319,55.2%
2005,20,Delaware,2,Cremation,247,42.7%
2005,20,Delaware,3,Other/Unknown,12,2.1%
2005,21,Dutchess,0,Total,2212,100.0%
2005,21,Dutchess,1,Burial,1241,56.1%
2005,21,Dutchess,2,Cremation,703,31.8%
2005,21,Dutchess,3,Other/Unknown,268,12.1%
2005,22,Erie,0,Total,9749,100.0%
2005,22,Erie,1,Burial,5209,53.4%
2005,22,Erie,2,Cremation,3642,37.4%
2005,22,Erie,3,Other/Unknown,898,9.2%
2005,23,Essex,0,Total,381,100.0%
2005,23,Essex,1,Burial,175,45.9%
2005,23,Essex,2,Cremation,150,39.4%
2005,23,Essex,3,Other/Unknown,56,14.7%
2005,24,Franklin,0,Total,434,100.0%
2005,24,Franklin,1,Burial,241,55.5%
2005,24,Franklin,2,Cremation,157,36.2%
2005,24,Franklin,3,Other/Unknown,36,8.3%
2005,25,Fulton,0,Total,605,100.0%
2005,25,Fulton,1,Burial,368,60.8%
2005,25,Fulton,2,Cremation,190,31.4%
2005,25,Fulton,3,Other/Unknown,47,7.8%
2005,26,Genesee,0,Total,561,100.0%
2005,26,Genesee,1,Burial,333,59.4%
2005,26,Genesee,2,Cremation,183,32.6%
2005,26,Genesee,3,Other/Unknown,45,8.0%
2005,27,Greene,0,Total,509,100.0%
2005,27,Greene,1,Burial,276,54.2%
2005,27,Greene,2,Cremation,195,38.3%
2005,27,Greene,3,Other/Unknown,38,7.5%
2005,28,Hamilton,0,Total,70,100.0%
2005,28,Hamilton,1,Burial,30,42.9%
2005,28,Hamilton,2,Cremation,33,47.1%
2005,28,Hamilton,3,Other/Unknown,7,10.0%
2005,29,Herkimer,0,Total,693,100.0%
2005,29,Herkimer,1,Burial,383,55.3%
2005,29,Herkimer,2,Cremation,228,32.9%
2005,29,Herkimer,3,Other/Unknown,82,11.8%
2005,30,Jefferson,0,Total,824,100.0%
2005,30,Jefferson,1,Burial,434,52.7%
2005,55,Suffolk,0,Total,11353,100.0%
2005,30,Jefferson,2,Cremation,323,39.2%
2005,30,Jefferson,3,Other/Unknown,67,8.1%
2005,31,Lewis,0,Total,241,100.0%
2005,31,Lewis,1,Burial,165,68.5%
2005,31,Lewis,2,Cremation,58,24.1%
2005,31,Lewis,3,Other/Unknown,18,7.5%
2005,32,Livingston,0,Total,512,100.0%
2005,32,Livingston,1,Burial,320,62.5%
2005,32,Livingston,2,Cremation,184,35.9%
2005,32,Livingston,3,Other/Unknown,8,1.6%
2005,33,Madison,0,Total,544,100.0%
2005,33,Madison,1,Burial,297,54.6%
2005,33,Madison,2,Cremation,212,39.0%
2005,33,Madison,3,Other/Unknown,35,6.4%
2005,34,Monroe,0,Total,6244,100.0%
2005,34,Monroe,1,Burial,3606,57.8%
2005,34,Monroe,2,Cremation,2074,33.2%
2005,34,Monroe,3,Other/Unknown,564,9.0%
2005,35,Montgomery,0,Total,619,100.0%
2005,35,Montgomery,1,Burial,398,64.3%
2005,35,Montgomery,2,Cremation,166,26.8%
2005,35,Montgomery,3,Other/Unknown,55,8.9%
2005,36,Nassau,0,Total,10526,100.0%
2005,36,Nassau,1,Burial,7982,75.8%
2005,36,Nassau,2,Cremation,1902,18.1%
2005,36,Nassau,3,Other/Unknown,642,6.1%
2005,37,Niagara,0,Total,2219,100.0%
2005,37,Niagara,1,Burial,1311,59.1%
2005,37,Niagara,2,Cremation,702,31.6%
2005,37,Niagara,3,Other/Unknown,206,9.3%
2005,38,Oneida,0,Total,2413,100.0%
2005,38,Oneida,1,Burial,1617,67.0%
2005,38,Oneida,2,Cremation,601,24.9%
2005,38,Oneida,3,Other/Unknown,195,8.1%
2005,39,Onondaga,0,Total,4091,100.0%
2005,39,Onondaga,1,Burial,2558,62.5%
2005,39,Onondaga,2,Cremation,1148,28.1%
2005,39,Onondaga,3,Other/Unknown,385,9.4%
2005,40,Ontario,0,Total,917,100.0%
2005,40,Ontario,1,Burial,490,53.4%
2005,40,Ontario,2,Cremation,354,38.6%
2005,40,Ontario,3,Other/Unknown,73,8.0%
2005,41,Orange,0,Total,2463,100.0%
2005,41,Orange,1,Burial,1569,63.7%
2005,41,Orange,2,Cremation,774,31.4%
2005,41,Orange,3,Other/Unknown,120,4.9%
2005,42,Orleans,0,Total,378,100.0%
2005,42,Orleans,1,Burial,238,63.0%
2005,42,Orleans,2,Cremation,122,32.3%
2005,42,Orleans,3,Other/Unknown,18,4.8%
2005,43,Oswego,0,Total,1010,100.0%
2005,43,Oswego,1,Burial,602,59.6%
2005,43,Oswego,2,Cremation,336,33.3%
2005,43,Oswego,3,Other/Unknown,72,7.1%
2005,44,Otsego,0,Total,577,100.0%
2005,44,Otsego,1,Burial,265,45.9%
2005,44,Otsego,2,Cremation,276,47.8%
2005,44,Otsego,3,Other/Unknown,36,6.2%
2005,45,Putnam,0,Total,604,100.0%
2005,45,Putnam,1,Burial,349,57.8%
2005,45,Putnam,2,Cremation,184,30.5%
2005,45,Putnam,3,Other/Unknown,71,11.8%
2005,46,Rensselaer,0,Total,1459,100.0%
2005,46,Rensselaer,1,Burial,952,65.3%
2005,46,Rensselaer,2,Cremation,371,25.4%
2005,46,Rensselaer,3,Other/Unknown,136,9.3%
2005,47,Rockland,0,Total,1914,100.0%
2005,47,Rockland,1,Burial,1437,75.1%
2005,47,Rockland,2,Cremation,392,20.5%
2005,47,Rockland,3,Other/Unknown,85,4.4%
2005,48,St Lawrence,0,Total,1069,100.0%
2005,48,St Lawrence,1,Burial,658,61.6%
2005,48,St Lawrence,2,Cremation,334,31.2%
2005,48,St Lawrence,3,Other/Unknown,77,7.2%
2005,49,Saratoga,0,Total,1625,100.0%
2005,49,Saratoga,1,Burial,956,58.8%
2005,49,Saratoga,2,Cremation,539,33.2%
2005,49,Saratoga,3,Other/Unknown,130,8.0%
2005,50,Schenectady,0,Total,1503,100.0%
2005,50,Schenectady,1,Burial,958,63.7%
2005,50,Schenectady,2,Cremation,425,28.3%
2005,50,Schenectady,3,Other/Unknown,120,8.0%
2005,51,Schoharie,0,Total,289,100.0%
2005,51,Schoharie,1,Burial,150,51.9%
2005,51,Schoharie,2,Cremation,127,43.9%
2005,51,Schoharie,3,Other/Unknown,12,4.2%
2005,52,Schuyler,0,Total,181,100.0%
2005,52,Schuyler,1,Burial,91,50.3%
2005,52,Schuyler,2,Cremation,67,37.0%
2005,52,Schuyler,3,Other/Unknown,23,12.7%
2005,53,Seneca,0,Total,337,100.0%
2005,53,Seneca,1,Burial,186,55.2%
2005,53,Seneca,2,Cremation,127,37.7%
2005,53,Seneca,3,Other/Unknown,24,7.1%
2005,54,Steuben,0,Total,970,100.0%
2005,54,Steuben,1,Burial,602,62.1%
2005,54,Steuben,2,Cremation,298,30.7%
2005,54,Steuben,3,Other/Unknown,70,7.2%
2005,55,Suffolk,1,Burial,8076,71.1%
2005,55,Suffolk,2,Cremation,2771,24.4%
2005,55,Suffolk,3,Other/Unknown,506,4.5%
2005,56,Sullivan,0,Total,668,100.0%
2005,56,Sullivan,1,Burial,405,60.6%
2005,56,Sullivan,2,Cremation,221,33.1%
2005,56,Sullivan,3,Other/Unknown,42,6.3%
2005,57,Tioga,0,Total,455,100.0%
2005,57,Tioga,1,Burial,194,42.6%
2005,57,Tioga,2,Cremation,147,32.3%
2005,57,Tioga,3,Other/Unknown,114,25.1%
2005,58,Tompkins,0,Total,618,100.0%
2005,58,Tompkins,1,Burial,233,37.7%
2005,58,Tompkins,2,Cremation,323,52.3%
2005,58,Tompkins,3,Other/Unknown,62,10.0%
2005,59,Ulster,0,Total,1522,100.0%
2005,59,Ulster,1,Burial,888,58.3%
2005,59,Ulster,2,Cremation,547,35.9%
2005,59,Ulster,3,Other/Unknown,87,5.7%
2005,60,Warren,0,Total,630,100.0%
2005,60,Warren,1,Burial,345,54.8%
2005,60,Warren,2,Cremation,230,36.5%
2005,60,Warren,3,Other/Unknown,55,8.7%
2005,61,Washington,0,Total,612,100.0%
2005,61,Washington,1,Burial,282,46.1%
2005,61,Washington,2,Cremation,204,33.3%
2005,61,Washington,3,Other/Unknown,126,20.6%
2005,62,Wayne,0,Total,741,100.0%
2005,62,Wayne,1,Burial,428,57.8%
2005,62,Wayne,2,Cremation,276,37.2%
2005,62,Wayne,3,Other/Unknown,37,5.0%
2005,63,Westchester,0,Total,7080,100.0%
2005,63,Westchester,1,Burial,4596,64.9%
2005,63,Westchester,2,Cremation,1686,23.8%
2005,63,Westchester,3,Other/Unknown,798,11.3%
2005,64,Wyoming,0,Total,379,100.0%
2005,64,Wyoming,1,Burial,211,55.7%
2005,64,Wyoming,2,Cremation,142,37.5%
2005,64,Wyoming,3,Other/Unknown,26,6.9%
2005,65,Yates,0,Total,250,100.0%
2005,65,Yates,1,Burial,124,49.6%
2005,65,Yates,2,Cremation,112,44.8%
2005,65,Yates,3,Other/Unknown,14,5.6%
2006,1,New York State,0,Total,147615,100.0%
2006,1,New York State,1,Burial,95316,64.6%
2006,1,New York State,2,Cremation,41250,27.9%
2006,1,New York State,3,Other/Unknown,11049,7.5%
2006,2,New York City,0,Total,54190,100.0%
2006,2,New York City,1,Burial,38177,70.5%
2006,2,New York City,2,Cremation,12360,22.8%
2006,2,New York City,3,Other/Unknown,3653,6.7%
2006,3,Bronx,0,Total,9421,100.0%
2006,3,Bronx,1,Burial,6272,66.6%
2006,3,Bronx,2,Cremation,2280,24.2%
2006,3,Bronx,3,Other/Unknown,869,9.2%
2006,4,Kings,0,Total,16308,100.0%
2006,4,Kings,1,Burial,12708,77.9%
2006,4,Kings,2,Cremation,2794,17.1%
2006,4,Kings,3,Other/Unknown,806,4.9%
2006,5,New York,0,Total,10326,100.0%
2006,5,New York,1,Burial,6090,59.0%
2006,5,New York,2,Cremation,3442,33.3%
2006,5,New York,3,Other/Unknown,794,7.7%
2006,6,Queens,0,Total,14626,100.0%
2006,6,Queens,1,Burial,10592,72.4%
2006,6,Queens,2,Cremation,3119,21.3%
2006,6,Queens,3,Other/Unknown,915,6.3%
2006,7,Richmond,0,Total,3509,100.0%
2006,7,Richmond,1,Burial,2515,71.7%
2006,7,Richmond,2,Cremation,725,20.7%
2006,7,Richmond,3,Other/Unknown,269,7.7%
2006,8,Rest of State,0,Total,93425,100.0%
2006,8,Rest of State,1,Burial,57139,61.2%
2006,8,Rest of State,2,Cremation,28890,30.9%
2006,8,Rest of State,3,Other/Unknown,7396,7.9%
2006,9,Albany,0,Total,2644,100.0%
2006,9,Albany,1,Burial,1825,69.0%
2006,9,Albany,2,Cremation,644,24.4%
2006,9,Albany,3,Other/Unknown,175,6.6%
2006,10,Allegany,0,Total,440,100.0%
2006,10,Allegany,1,Burial,244,55.5%
2006,10,Allegany,2,Cremation,173,39.3%
2006,10,Allegany,3,Other/Unknown,23,5.2%
2006,11,Broome,0,Total,2148,100.0%
2006,11,Broome,1,Burial,1201,55.9%
2006,11,Broome,2,Cremation,702,32.7%
2006,11,Broome,3,Other/Unknown,245,11.4%
2006,12,Cattaraugus,0,Total,798,100.0%
2006,12,Cattaraugus,1,Burial,477,59.8%
2006,12,Cattaraugus,2,Cremation,276,34.6%
2006,12,Cattaraugus,3,Other/Unknown,45,5.6%
2006,13,Cayuga,0,Total,778,100.0%
2006,13,Cayuga,1,Burial,464,59.6%
2006,13,Cayuga,2,Cremation,240,30.8%
2006,13,Cayuga,3,Other/Unknown,74,9.5%
2006,14,Chautauqua,0,Total,1406,100.0%
2006,14,Chautauqua,1,Burial,829,59.0%
2006,14,Chautauqua,2,Cremation,439,31.2%
2006,14,Chautauqua,3,Other/Unknown,138,9.8%
2006,15,Chemung,0,Total,909,100.0%
2006,15,Chemung,1,Burial,558,61.4%
2006,15,Chemung,2,Cremation,306,33.7%
2006,15,Chemung,3,Other/Unknown,45,5.0%
2006,16,Chenango,0,Total,504,100.0%
2006,16,Chenango,1,Burial,279,55.4%
2006,16,Chenango,2,Cremation,195,38.7%
2006,16,Chenango,3,Other/Unknown,30,6.0%
2006,17,Clinton,0,Total,617,100.0%
2006,17,Clinton,1,Burial,347,56.2%
2006,17,Clinton,2,Cremation,205,33.2%
2006,17,Clinton,3,Other/Unknown,65,10.5%
2006,18,Columbia,0,Total,649,100.0%
2006,18,Columbia,1,Burial,338,52.1%
2006,18,Columbia,2,Cremation,234,36.1%
2006,18,Columbia,3,Other/Unknown,77,11.9%
2006,19,Cortland,0,Total,439,100.0%
2006,19,Cortland,1,Burial,257,58.5%
2006,19,Cortland,2,Cremation,164,37.4%
2006,19,Cortland,3,Other/Unknown,18,4.1%
2006,20,Delaware,0,Total,527,100.0%
2006,20,Delaware,1,Burial,300,56.9%
2006,20,Delaware,2,Cremation,202,38.3%
2006,20,Delaware,3,Other/Unknown,25,4.7%
2006,21,Dutchess,0,Total,2236,100.0%
2006,21,Dutchess,1,Burial,1207,54.0%
2006,21,Dutchess,2,Cremation,745,33.3%
2006,21,Dutchess,3,Other/Unknown,284,12.7%
2006,22,Erie,0,Total,9395,100.0%
2006,22,Erie,1,Burial,4895,52.1%
2006,22,Erie,2,Cremation,3562,37.9%
2006,22,Erie,3,Other/Unknown,938,10.0%
2006,23,Essex,0,Total,411,100.0%
2006,23,Essex,1,Burial,187,45.5%
2006,23,Essex,2,Cremation,186,45.3%
2006,23,Essex,3,Other/Unknown,38,9.2%
2006,24,Franklin,0,Total,424,100.0%
2006,24,Franklin,1,Burial,210,49.5%
2006,24,Franklin,2,Cremation,181,42.7%
2006,24,Franklin,3,Other/Unknown,33,7.8%
2006,25,Fulton,0,Total,554,100.0%
2006,25,Fulton,1,Burial,334,60.3%
2006,25,Fulton,2,Cremation,187,33.8%
2006,25,Fulton,3,Other/Unknown,33,6.0%
2006,26,Genesee,0,Total,534,100.0%
2006,26,Genesee,1,Burial,295,55.2%
2006,26,Genesee,2,Cremation,199,37.3%
2006,26,Genesee,3,Other/Unknown,40,7.5%
2006,27,Greene,0,Total,510,100.0%
2006,27,Greene,1,Burial,296,58.0%
2006,27,Greene,2,Cremation,198,38.8%
2006,27,Greene,3,Other/Unknown,16,3.1%
2006,28,Hamilton,0,Total,61,100.0%
2006,28,Hamilton,1,Burial,26,42.6%
2006,28,Hamilton,2,Cremation,27,44.3%
2006,28,Hamilton,3,Other/Unknown,8,13.1%
2006,29,Herkimer,0,Total,698,100.0%
2006,29,Herkimer,1,Burial,416,59.6%
2006,29,Herkimer,2,Cremation,220,31.5%
2006,29,Herkimer,3,Other/Unknown,62,8.9%
2006,30,Jefferson,0,Total,839,100.0%
2006,30,Jefferson,1,Burial,442,52.7%
2006,30,Jefferson,2,Cremation,339,40.4%
2006,30,Jefferson,3,Other/Unknown,58,6.9%
2006,31,Lewis,0,Total,232,100.0%
2006,31,Lewis,1,Burial,142,61.2%
2006,31,Lewis,2,Cremation,81,34.9%
2006,31,Lewis,3,Other/Unknown,9,3.9%
2006,32,Livingston,0,Total,493,100.0%
2006,32,Livingston,1,Burial,302,61.3%
2006,32,Livingston,2,Cremation,172,34.9%
2006,32,Livingston,3,Other/Unknown,19,3.9%
2006,33,Madison,0,Total,543,100.0%
2006,33,Madison,1,Burial,303,55.8%
2006,33,Madison,2,Cremation,198,36.5%
2006,33,Madison,3,Other/Unknown,42,7.7%
2006,34,Monroe,0,Total,6140,100.0%
2006,34,Monroe,1,Burial,3366,54.8%
2006,34,Monroe,2,Cremation,2223,36.2%
2006,34,Monroe,3,Other/Unknown,551,9.0%
2006,35,Montgomery,0,Total,607,100.0%
2006,35,Montgomery,1,Burial,391,64.4%
2006,35,Montgomery,2,Cremation,181,29.8%
2006,35,Montgomery,3,Other/Unknown,35,5.8%
2006,36,Nassau,0,Total,10397,100.0%
2006,36,Nassau,1,Burial,7757,74.6%
2006,36,Nassau,2,Cremation,1981,19.1%
2006,36,Nassau,3,Other/Unknown,659,6.3%
2006,37,Niagara,0,Total,2285,100.0%
2006,37,Niagara,1,Burial,1266,55.4%
2006,37,Niagara,2,Cremation,792,34.7%
2006,37,Niagara,3,Other/Unknown,227,9.9%
2006,38,Oneida,0,Total,2429,100.0%
2006,38,Oneida,1,Burial,1621,66.7%
2006,38,Oneida,2,Cremation,643,26.5%
2006,38,Oneida,3,Other/Unknown,165,6.8%
2006,39,Onondaga,0,Total,3965,100.0%
2006,39,Onondaga,1,Burial,2355,59.4%
2006,39,Onondaga,2,Cremation,1259,31.8%
2006,39,Onondaga,3,Other/Unknown,351,8.9%
2006,40,Ontario,0,Total,903,100.0%
2006,40,Ontario,1,Burial,436,48.3%
2006,40,Ontario,2,Cremation,400,44.3%
2006,40,Ontario,3,Other/Unknown,67,7.4%
2006,41,Orange,0,Total,2374,100.0%
2006,41,Orange,1,Burial,1484,62.5%
2006,41,Orange,2,Cremation,786,33.1%
2006,41,Orange,3,Other/Unknown,104,4.4%
2006,42,Orleans,0,Total,354,100.0%
2006,42,Orleans,1,Burial,204,57.6%
2006,42,Orleans,2,Cremation,135,38.1%
2006,42,Orleans,3,Other/Unknown,15,4.2%
2006,43,Oswego,0,Total,1069,100.0%
2006,43,Oswego,1,Burial,589,55.1%
2006,43,Oswego,2,Cremation,405,37.9%
2006,43,Oswego,3,Other/Unknown,75,7.0%
2006,44,Otsego,0,Total,570,100.0%
2006,44,Otsego,1,Burial,254,44.6%
2006,44,Otsego,2,Cremation,288,50.5%
2006,44,Otsego,3,Other/Unknown,28,4.9%
2006,45,Putnam,0,Total,585,100.0%
2006,45,Putnam,1,Burial,332,56.8%
2006,45,Putnam,2,Cremation,186,31.8%
2006,45,Putnam,3,Other/Unknown,67,11.5%
2006,46,Rensselaer,0,Total,1432,100.0%
2006,46,Rensselaer,1,Burial,907,63.3%
2006,46,Rensselaer,2,Cremation,390,27.2%
2006,46,Rensselaer,3,Other/Unknown,135,9.4%
2006,47,Rockland,0,Total,1942,100.0%
2006,47,Rockland,1,Burial,1448,74.6%
2006,47,Rockland,2,Cremation,402,20.7%
2006,47,Rockland,3,Other/Unknown,92,4.7%
2006,48,St Lawrence,0,Total,1034,100.0%
2006,48,St Lawrence,1,Burial,590,57.1%
2006,48,St Lawrence,2,Cremation,366,35.4%
2006,48,St Lawrence,3,Other/Unknown,78,7.5%
2006,49,Saratoga,0,Total,1462,100.0%
2006,49,Saratoga,1,Burial,845,57.8%
2006,49,Saratoga,2,Cremation,484,33.1%
2006,49,Saratoga,3,Other/Unknown,133,9.1%
2006,50,Schenectady,0,Total,1472,100.0%
2006,50,Schenectady,1,Burial,907,61.6%
2006,50,Schenectady,2,Cremation,435,29.6%
2006,50,Schenectady,3,Other/Unknown,130,8.8%
2006,51,Schoharie,0,Total,297,100.0%
2006,51,Schoharie,1,Burial,160,53.9%
2006,51,Schoharie,2,Cremation,121,40.7%
2006,51,Schoharie,3,Other/Unknown,16,5.4%
2006,52,Schuyler,0,Total,176,100.0%
2006,52,Schuyler,1,Burial,92,52.3%
2006,52,Schuyler,2,Cremation,73,41.5%
2006,52,Schuyler,3,Other/Unknown,11,6.3%
2006,53,Seneca,0,Total,333,100.0%
2006,53,Seneca,1,Burial,188,56.5%
2006,53,Seneca,2,Cremation,123,36.9%
2006,53,Seneca,3,Other/Unknown,22,6.6%
2006,54,Steuben,0,Total,960,100.0%
2006,54,Steuben,1,Burial,584,60.8%
2006,54,Steuben,2,Cremation,316,32.9%
2006,54,Steuben,3,Other/Unknown,60,6.3%
2006,55,Suffolk,0,Total,11105,100.0%
2006,55,Suffolk,1,Burial,7768,70.0%
2006,55,Suffolk,2,Cremation,2819,25.4%
2006,55,Suffolk,3,Other/Unknown,518,4.7%
2006,56,Sullivan,0,Total,710,100.0%
2006,56,Sullivan,1,Burial,381,53.7%
2006,56,Sullivan,2,Cremation,285,40.1%
2006,56,Sullivan,3,Other/Unknown,44,6.2%
2006,57,Tioga,0,Total,426,100.0%
2006,57,Tioga,1,Burial,190,44.6%
2006,57,Tioga,2,Cremation,140,32.9%
2006,57,Tioga,3,Other/Unknown,96,22.5%
2006,58,Tompkins,0,Total,551,100.0%
2006,58,Tompkins,1,Burial,244,44.3%
2006,58,Tompkins,2,Cremation,255,46.3%
2006,58,Tompkins,3,Other/Unknown,52,9.4%
2006,59,Ulster,0,Total,1457,100.0%
2006,59,Ulster,1,Burial,823,56.5%
2006,59,Ulster,2,Cremation,554,38.0%
2006,59,Ulster,3,Other/Unknown,80,5.5%
2006,60,Warren,0,Total,624,100.0%
2006,60,Warren,1,Burial,324,51.9%
2006,60,Warren,2,Cremation,262,42.0%
2006,60,Warren,3,Other/Unknown,38,6.1%
2006,61,Washington,0,Total,567,100.0%
2006,61,Washington,1,Burial,292,51.5%
2006,61,Washington,2,Cremation,210,37.0%
2006,61,Washington,3,Other/Unknown,65,11.5%
2006,62,Wayne,0,Total,797,100.0%
2006,62,Wayne,1,Burial,449,56.3%
2006,62,Wayne,2,Cremation,300,37.6%
2006,62,Wayne,3,Other/Unknown,48,6.0%
2006,63,Westchester,0,Total,7054,100.0%
2006,63,Westchester,1,Burial,4421,62.7%
2006,63,Westchester,2,Cremation,1775,25.2%
2006,63,Westchester,3,Other/Unknown,858,12.2%
2006,64,Wyoming,0,Total,330,100.0%
2006,64,Wyoming,1,Burial,182,55.2%
2006,64,Wyoming,2,Cremation,133,40.3%
2006,64,Wyoming,3,Other/Unknown,15,4.5%
2006,65,Yates,0,Total,229,100.0%
2006,65,Yates,1,Burial,115,50.2%
2006,65,Yates,2,Cremation,93,40.6%
2006,65,Yates,3,Other/Unknown,21,9.2%
2007,1,New York State,0,Total,146266,100.0%
2007,1,New York State,1,Burial,92458,63.2%
2007,1,New York State,2,Cremation,42595,29.1%
2007,1,New York State,3,Other/Unknown,11213,7.7%
2007,2,New York City,0,Total,52871,100.0%
2007,2,New York City,1,Burial,36602,69.2%
2007,2,New York City,2,Cremation,12520,23.7%
2007,2,New York City,3,Other/Unknown,3749,7.1%
2007,3,Bronx,0,Total,9054,100.0%
2007,3,Bronx,1,Burial,5909,65.3%
2007,3,Bronx,2,Cremation,2246,24.8%
2007,3,Bronx,3,Other/Unknown,899,9.9%
2007,4,Kings,0,Total,16170,100.0%
2007,4,Kings,1,Burial,12498,77.3%
2007,4,Kings,2,Cremation,2815,17.4%
2007,4,Kings,3,Other/Unknown,857,5.3%
2007,5,New York,0,Total,9980,100.0%
2007,5,New York,1,Burial,5672,56.8%
2007,5,New York,2,Cremation,3497,35.0%
2007,5,New York,3,Other/Unknown,811,8.1%
2007,6,Queens,0,Total,14388,100.0%
2007,6,Queens,1,Burial,10245,71.2%
2007,6,Queens,2,Cremation,3206,22.3%
2007,6,Queens,3,Other/Unknown,937,6.5%
2007,7,Richmond,0,Total,3279,100.0%
2007,7,Richmond,1,Burial,2278,69.5%
2007,7,Richmond,2,Cremation,756,23.1%
2007,7,Richmond,3,Other/Unknown,245,7.5%
2007,8,Rest of State,0,Total,93395,100.0%
2007,8,Rest of State,1,Burial,55856,59.8%
2007,8,Rest of State,2,Cremation,30075,32.2%
2007,8,Rest of State,3,Other/Unknown,7464,8.0%
2007,9,Albany,0,Total,2657,100.0%
2007,9,Albany,1,Burial,1783,67.1%
2007,9,Albany,2,Cremation,684,25.7%
2007,9,Albany,3,Other/Unknown,190,7.2%
2007,10,Allegany,0,Total,477,100.0%
2007,10,Allegany,1,Burial,301,63.1%
2007,10,Allegany,2,Cremation,153,32.1%
2007,10,Allegany,3,Other/Unknown,23,4.8%
2007,11,Broome,0,Total,2051,100.0%
2007,11,Broome,1,Burial,1077,52.5%
2007,11,Broome,2,Cremation,738,36.0%
2007,11,Broome,3,Other/Unknown,236,11.5%
2007,12,Cattaraugus,0,Total,779,100.0%
2007,12,Cattaraugus,1,Burial,454,58.3%
2007,12,Cattaraugus,2,Cremation,275,35.3%
2007,12,Cattaraugus,3,Other/Unknown,50,6.4%
2007,13,Cayuga,0,Total,678,100.0%
2007,13,Cayuga,1,Burial,386,56.9%
2007,13,Cayuga,2,Cremation,210,31.0%
2007,13,Cayuga,3,Other/Unknown,82,12.1%
2007,14,Chautauqua,0,Total,1394,100.0%
2007,14,Chautauqua,1,Burial,779,55.9%
2007,14,Chautauqua,2,Cremation,473,33.9%
2007,14,Chautauqua,3,Other/Unknown,142,10.2%
2007,15,Chemung,0,Total,944,100.0%
2007,15,Chemung,1,Burial,557,59.0%
2007,15,Chemung,2,Cremation,341,36.1%
2007,15,Chemung,3,Other/Unknown,46,4.9%
2007,16,Chenango,0,Total,569,100.0%
2007,16,Chenango,1,Burial,283,49.7%
2007,16,Chenango,2,Cremation,249,43.8%
2007,16,Chenango,3,Other/Unknown,37,6.5%
2007,17,Clinton,0,Total,675,100.0%
2007,17,Clinton,1,Burial,365,54.1%
2007,17,Clinton,2,Cremation,248,36.7%
2007,17,Clinton,3,Other/Unknown,62,9.2%
2007,18,Columbia,0,Total,632,100.0%
2007,18,Columbia,1,Burial,348,55.1%
2007,18,Columbia,2,Cremation,208,32.9%
2007,18,Columbia,3,Other/Unknown,76,12.0%
2007,19,Cortland,0,Total,417,100.0%
2007,19,Cortland,1,Burial,227,54.4%
2007,19,Cortland,2,Cremation,162,38.8%
2007,19,Cortland,3,Other/Unknown,28,6.7%
2007,20,Delaware,0,Total,567,100.0%
2007,20,Delaware,1,Burial,292,51.5%
2007,20,Delaware,2,Cremation,254,44.8%
2007,20,Delaware,3,Other/Unknown,21,3.7%
2007,21,Dutchess,0,Total,2132,100.0%
2007,21,Dutchess,1,Burial,1226,57.5%
2007,21,Dutchess,2,Cremation,718,33.7%
2007,21,Dutchess,3,Other/Unknown,188,8.8%
2007,22,Erie,0,Total,9498,100.0%
2007,22,Erie,1,Burial,4720,49.7%
2007,22,Erie,2,Cremation,3766,39.7%
2007,22,Erie,3,Other/Unknown,1012,10.7%
2007,23,Essex,0,Total,395,100.0%
2007,23,Essex,1,Burial,185,46.8%
2007,23,Essex,2,Cremation,169,42.8%
2007,23,Essex,3,Other/Unknown,41,10.4%
2007,24,Franklin,0,Total,421,100.0%
2007,24,Franklin,1,Burial,233,55.3%
2007,24,Franklin,2,Cremation,156,37.1%
2007,24,Franklin,3,Other/Unknown,32,7.6%
2007,25,Fulton,0,Total,541,100.0%
2007,25,Fulton,1,Burial,316,58.4%
2007,25,Fulton,2,Cremation,187,34.6%
2007,25,Fulton,3,Other/Unknown,38,7.0%
2007,26,Genesee,0,Total,597,100.0%
2007,26,Genesee,1,Burial,332,55.6%
